Distrito,Matrículas no ensino básico em escolas públicas,Idade média ao morrer,Acesso internet móvel (por área/km²),Equipamentos públicos de cultura,Ideb (Escolas públicas - anos iniciais),Ideb (Escolas públicas - anos finais),Equipamentos públicos de esporte,Homicídios,Favelas,Gravidez na adolescência,Mortalidade materna,Mortalidade infantil,Tempo médio para consultas na atenção básica,Incidência de dengue,Abandono escolar no ensino fundamental da rede municipal,Esforço docente,Emissão de poluentes atmosféricos por área (kg/km²/dia),Violência racial,Tempo de atendimento para vaga em creche,Adequação da formação docente,Distorção idade-série no ensino fundamental da rede municipal,Tempo médio de deslocamento por transporte público,Mortalidade por doenças do aparelho respiratório,Violência contra a mulher (todas),Ano
BELA VISTA,62.25355969,72,41.17647059,1.3604,5.7,4.3,0.0,1.4,0.0,5.108,0.0,17.682,29.0,91.1,5.607476636,10.55,0.863240868,5.182265741,5,2.7,4.2,28,76.18218425,476.0585236,2024
CONSOLACAO,24.67166067,79,32.98429319,3.5041,NAO INFORMADO,NAO INFORMADO,0.0,1.7,0.0,1.534,0.0,3.067,NAO INFORMADO,87.6,NAO INFORMADO,NAO INFORMADO,0.441568628,5.061435353,6,NAO INFORMADO,NAO INFORMADO,28,106.8750438,362.1220351,2024
SE,77.08894879,60,43.83561644,18.3547,5.7,4.6,0.0,26.2,0.0,6.641,125.6281407,11.719,23.0,216.6,4.609929078,6.25,1.695100453,0.5856413749,14,8.233333333,13.7,26,58.73499504,881.9193138,2024
LIBERDADE,37.56631867,74,16.16438356,17.7668,6.1,NAO INFORMADO,0.1369000356,2.7,0.2791,4.143,0.0,13.183,35.0,90.2,1.963534362,7.15,0.3259788558,3.291142712,8,5.933333333,5.6,32,77.90077901,344.9985129,2024
SANTA CECILIA,51.37608171,74,19.68085106,0.0,NAO INFORMADO,NAO INFORMADO,0.2254689755,1.1,0.919,2.762,47.93863854,2.907,29.0,145.3,3.501945525,0.0,0.5625920013,4.739764366,3,NAO INFORMADO,NAO INFORMADO,29,109.2403852,254.6538802,2024
CAMBUCI,34.70513852,73,8.396946565,0.0,NAO INFORMADO,NAO INFORMADO,0.4876145894,0.0,0.0,4.31,0.0,8.621,NAO INFORMADO,99.5,NAO INFORMADO,NAO INFORMADO,0.3397335813,2.203613927,15,NAO INFORMADO,NAO INFORMADO,32,101.9640213,274.5913393,2024
REPUBLICA,66.55808903,67,42.5,24.1146,NAO INFORMADO,NAO INFORMADO,0.0,9.7,0.0,5.455,143.6781609,12.121,0.0,65.9,NAO INFORMADO,NAO INFORMADO,1.295656454,10.49131642,5,NAO INFORMADO,NAO INFORMADO,26,85.20489365,615.8406981,2024
BOM RETIRO,69.64010723,70,11.16389549,10.0361,NAO INFORMADO,NAO INFORMADO,0.758955677,5.1,0.0,10.022,0.0,4.454,28.0,90.3,NAO INFORMADO,NAO INFORMADO,0.2477678445,2.295801235,4,NAO INFORMADO,NAO INFORMADO,27,87.8161381,443.7240401,2024
