metric_name,value,unit,context,category,source_file,country,state,city,region,municipality,neighborhood
500,familias,familias,"es, 2023  ° até 50 familias e de 50a 200 familias @ de 200 a500 familias  @ de 500 a17 mil familias  e de 1,7 a7 mil familias  S4o e",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
",",familias,familias,"S4o elegiveis para serem beneficia- rias do auxilio-aluguel, familias que foram removidas de suas moradias em decorréncia da ocup",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
24.054,familias,familias,"habitacional.  Segundo informacées do Portal Ha- bitaSampa, 24.054 familias sd0 be- neficidrias de auxilio-aluguel (tem- porario e cont",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
588,familias,familias,"Infor- magao, a SEHAB informou que no més de junho ape- nas 588 familias recebiam auxilio-aluguel temporario.  parcela revela que 42",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
4.423,familias,familias,"efinitiva ha um longo periodo de tempo.  Vale ressaltar que 4.423 familias, ou 18% do total, que recebem o auxilio estado concentradas",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
2.285,familias,familias,"ta também a favela de Pa- raisOpolis. Em segundo lugar, com 2.285 familias, esta o distrito de Sao Rafael, na zona leste, e em seguida",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,São Paulo,zona leste,,
67.081,pessoas,pessoas,"ocioassistencial, em junho de 2024, havia 462 servigos, com 67.081 pessoas atendidas, dessas, 63,46% pretas ou pardas. Quase 51 mil fa",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
.,Familias,familias,elé- tricas € mais severo em dreas de maior vulnerabilidade. Familias de  16. Area de um conjunto de unidades consumidoras a qual,populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
10,pessoas,pessoas,"é de 1h53. Além disso, segundo a mesma pesquisa, 3 em cada 10 pessoas ja dei- xaram de visitar familiares/amigos, rea- lizar ativ",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
928,pessoas,pessoas,"ados sistematizados pela plataforma Infosiga, do Detran-SP, 928 pessoas morreram em acidentes de transito no municipio em 2023. Em",populacao,sampa-em-foco-atualizado-1.txt,Brazil,São Paulo,,,,
.,Pessoas,pessoas,"sdo determinados pela intersec- cdo de raga, classe e género. Pessoas negras, residentes da periferia, e, sobretudo, mulheres, sa",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
",",pessoas,pessoas,"eguranga e a violéncia prin- cipalmente para mulheres, LGBTs, pessoas com deficiéncia e corpos racializados.  Segundo pesquisa “S",populacao,sampa-em-foco-atualizado-1.txt,Brazil,,,,,
