metric_name,value,unit,context,category,source_file,country,state,city,region,municipality,neighborhood
100,famílias,%,"alizada no centro de São Paulo, abriga atualmente cerca  de 100 famílias e mais de 300 pessoas, sendo um espaço comunitário organiza",populacao,edd6629a986e951fb4910d9ce0f00da286c73e62.txt,Brazil,São Paulo,São Paulo,centro,,
300,pessoas,pessoas,"o Paulo, abriga atualmente cerca  de 100 famílias e mais de 300 pessoas, sendo um espaço comunitário organizado,  que conta com ser",populacao,edd6629a986e951fb4910d9ce0f00da286c73e62.txt,Brazil,,,,,
100,famílias,%,"cional piloto que amplie a capacidade da ocupação  para até 100 famílias.   Garantir condições de moradia digna e acessível, respeit",populacao,edd6629a986e951fb4910d9ce0f00da286c73e62.txt,Brazil,,,,,
2.640.,Famílias,%,MORADIA CENTRAL REGIONAL.  Faixa 1: Renda mensal de até R$ 2.640. Famílias nesta faixa podem receber subsídios de até  95% do valor do,populacao,edd6629a986e951fb4910d9ce0f00da286c73e62.txt,Brazil,,,,,
100,familias,familias,"alizada no centro de Sado Paulo, abriga atualmente cerca de 100 familias e mais de 300 pessoas, sendo um espago comunitario organiza",populacao,edd6629a986e951fb4910d9ce0f00da286c73e62.txt,Brazil,,São Paulo,centro,,
300,pessoas,pessoas,"do Paulo, abriga atualmente cerca de 100 familias e mais de 300 pessoas, sendo um espago comunitario organizado, que conta com serv",populacao,edd6629a986e951fb4910d9ce0f00da286c73e62.txt,Brazil,,,,,
100,familias,familias,"acional piloto que amplie a capacidade da ocupacao para até 100 familias.  Garantir condigdes de moradia digna e acessivel, respeita",populacao,edd6629a986e951fb4910d9ce0f00da286c73e62.txt,Brazil,,,,,
2.640.,Familias,familias,MORADIA CENTRAL REGIONAL.  Faixa 1: Renda mensal de até R$ 2.640. Familias nesta faixa podem receber subsidios de até 95% do valor do,populacao,edd6629a986e951fb4910d9ce0f00da286c73e62.txt,Brazil,,,,,
