metric_name,value,unit,context,category,source_file,country,state,city,region,municipality,neighborhood
10,famílias,%,"tores de alimentos do mundo, em 2017 e 2018  quatro em cada 10 famílias não tiveram acesso diá- rio regular e permanente a quantida",populacao,080-085_inseguranca-alimentar_297.txt,Brazil,,,,,
10,familias,familias,"utores de alimentos do mundo, em 2017 e 2018 quatro em cada 10 familias nao tiveram acesso dia- rio regular e permanente a quantida",populacao,080-085_inseguranca-alimentar_297.txt,Brazil,,,,,
