metric_name,value,unit,context,category,source_file,country,state,city,region,municipality,neighborhood
3,PESSOAS,pessoas,. HABITACAO CONJUNTOS HABITACIONAIS GRUPO 3 HABITACAO GRUPO 3 PESSOAS COM BAIXA RENDA NAO TEM MAIOR OPCOES DE IMOVEIS. HABITACAO,populacao,habitacao.txt,Brazil,,,,,
.,FAMILIAS,familias,ARTICULAGAO DAS POLITICAS NA CONSTRUGAO DOS PARQUES LINEARES.  FAMILIAS FORAM DESPEJADAS.  FALTA DE HABITACAO PARA OS MORADORES DE,populacao,habitacao.txt,Brazil,,,,,
5,PESSOAS,pessoas,DOS MUTIROES: O PROJETO QUE ATENDIA GRUPO 5 HABITACAO GRUPO 5 PESSOAS NO SEU IMEDIATISMO — REMOVIDAS POR CATASTROFES. HOJE NAO TE,populacao,habitacao.txt,Brazil,,,,,
