metric_name,value,unit,context,category,source_file,country,state,city,region,municipality,neighborhood
renda média,.,%,"s cortigos nas areas centrais.  35   cidade, bem como as de renda média. Paralelamente, as unidades que misturavam  renda baixa e mé",renda,tsukumo.txt,Brazil,,,,,
84,famílias,%,"nais (em finalização da obra no momento). Viviam no  local  84  famílias,  das  quais,  segundo  informações  da  CDHU  de  2002,  3",populacao,tsukumo.txt,Brazil,,,,,
",",pessoas,pessoas,",  a  vida  nua  é  identificada  na  figura  dos  apátridas,  pessoas  desprovidas  de  nacionalidade  dentro  dos  Estados  naçã",populacao,tsukumo.txt,Brazil,,,,,
",",famílias,%,"prioridade à demanda de moradores de   cortiços do perímetro, famílias de 4 a 6 salários mínimos e trabalhadores locais.   Acertou",populacao,tsukumo.txt,Brazil,,,,,
84,familias,familias,"ionais (em finalizagéo da obra no momento). Viviam no local 84 familias, das quais, segundo informagdes da CDHU de 2002, 31 optaram",populacao,tsukumo.txt,Brazil,,,,,
",",pessoas,pessoas,"da Guerra, a vida nua é identificada na figura dos apatridas, pessoas desprovidas de nacionalidade dentro dos Estados nagaéo. No",populacao,tsukumo.txt,Brazil,,,,,
",",familias,familias,"prioridade 4 demanda de moradores de  cortigos do perimetro, familias de 4 a 6 salarios minimos e trabalhadores locais.  Acertou-",populacao,tsukumo.txt,Brazil,,,,,
