Distrito,Mencoes_TXT,Score_Mencoes,Score_Extrema_Pobreza,Score_Extrema_Pobreza_Norm,Total_Beneficiados,Score_Beneficios_Norm,Favelas,Violência contra a mulher (todas),Mortalidade infantil,Homicídios,Score_Mapa_Norm,Score_Final
SE,19016,100.0,13579.962,100.0,18174,79.91732993272063,0.0,881.9193138,11.719,26.2,100.0,94.09333233315313
REPUBLICA,226,1.1884728649558267,12951.82,95.37449368415022,22741,100.0,0.0,615.8406981,12.121,9.7,66.95271799881841,78.96675175471098
SANTA CECILIA,132,0.6941522928060581,10471.9266,77.11307734145353,18135,79.74583351655599,0.919,254.6538802,2.907,1.1,94.2063091910713,72.91889252831754
BOM RETIRO,72,0.37862852334875896,10289.9416,75.7729778625301,17651,77.61751901851281,0.0,443.7240401,4.454,5.1,39.66457928460344,58.94947273252094
BELA VISTA,40,0.2103491796381994,4417.8218,32.53191577413839,10237,45.015610571214985,0.0,476.0585236,17.682,1.4,58.235568385011106,38.44897172942507
LIBERDADE,98,0.5153554901135886,2774.9172,20.43390990342977,9374,41.22070269557187,0.2791,344.9985129,13.183,2.7,66.63985318892178,35.07629980202073
CAMBUCI,46,0.24190155658392934,3225.1032,23.74898545371482,8042,35.363440481948906,0.0,274.5913393,8.621,0.0,30.312379229104238,25.943790303624603
CONSOLACAO,26,0.13672696676482962,643.419,4.73800294875641,2344,10.307374345895079,0.0,362.1220351,3.067,1.7,28.92766606596518,11.526412212906132
