Distrito,Total_Matriculas,Numero_Escolas,Matriculas_Ensino_Basico,Abandono_Escolar,Ideb_Iniciais,Ideb_Finais,Alunos_por_Escola
BELA VISTA,3762,3,62.25,5.607476636,5.7,4.3,1254.0
BOM RETIRO,4130,4,69.64,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1032.5
CAMBUCI,2532,5,34.71,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,506.4
CONSOLACAO,1549,3,24.67,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,516.33
LIBERDADE,2687,3,37.57,1.963534362,6.1,NAO INFORMADO,895.67
REPUBLICA,708,2,66.56,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,354.0
SANTA CECILIA,2706,1,51.38,3.501945525,NAO INFORMADO,NAO INFORMADO,2706.0
SE,2935,2,77.09,4.609929078,5.7,4.6,1467.5
