Macrorregiao,Subprefeitura,Distrito,Total,Tipo_Beneficio,Mes,Ano
SUL 1,IPIRANGA,CURSINO,1769,BPC,SETEMBRO,2024
SUL 1,IPIRANGA,IPIRANGA,1828,BPC,SETEMBRO,2024
SUL 1,IPIRANGA,SACOMA,4751,BPC,SETEMBRO,2024
SUL 1,JABAQUARA,JABAQUARA,5082,BPC,SETEMBRO,2024
SUL 1,VILA MARIANA,MOEMA,271,BPC,SETEMBRO,2024
SUL 1,VILA MARIANA,SAUDE,1206,BPC,SETEMBRO,2024
SUL 1,VILA MARIANA,VILA MARIANA,1112,BPC,SETEMBRO,2024
SUL 2,CAMPO LIMPO,CAMPO LIMPO,5582,BPC,SETEMBRO,2024
SUL 2,CAMPO LIMPO,CAPAO REDONDO,7653,BPC,SETEMBRO,2024
SUL 2,CAMPO LIMPO,VILA ANDRADE,1991,BPC,SETEMBRO,2024
SUL 2,CAPELA DO SOCORRO,CIDADE DUTRA,5419,BPC,SETEMBRO,2024
SUL 2,CAPELA DO SOCORRO,GRAJAU,11433,BPC,SETEMBRO,2024
SUL 2,CAPELA DO SOCORRO,SOCORRO,726,BPC,SETEMBRO,2024
SUL 2,CIDADE ADEMAR,CIDADE ADEMAR,7837,BPC,SETEMBRO,2024
SUL 2,CIDADE ADEMAR,PEDREIRA,4509,BPC,SETEMBRO,2024
SUL 2,MBOI MIRIM,JARDIM ANGELA,9370,BPC,SETEMBRO,2024
SUL 2,MBOI MIRIM,JARDIM SAO LUIS,6803,BPC,SETEMBRO,2024
SUL 2,PARELHEIROS,MARSILAC,564,BPC,SETEMBRO,2024
SUL 2,PARELHEIROS,PARELHEIROS,5330,BPC,SETEMBRO,2024
SUL 2,SANTO AMARO,CAMPO BELO,795,BPC,SETEMBRO,2024
SUL 2,SANTO AMARO,CAMPO GRANDE,1413,BPC,SETEMBRO,2024
SUL 2,SANTO AMARO,SANTO AMARO,1410,BPC,SETEMBRO,2024
CENTRO,SE,BELA VISTA,621,PCD,SETEMBRO,2024
CENTRO,SE,BOM RETIRO,1176,PCD,SETEMBRO,2024
CENTRO,SE,CAMBUCI,557,PCD,SETEMBRO,2024
CENTRO,SE,CONSOLACAO,254,PCD,SETEMBRO,2024
CENTRO,SE,LIBERDADE,787,PCD,SETEMBRO,2024
CENTRO,SE,REPUBLICA,1297,PCD,SETEMBRO,2024
CENTRO,SE,SANTA CECILIA,997,PCD,SETEMBRO,2024
CENTRO,SE,SE,433,PCD,SETEMBRO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,ARICANDUVA,1633,PCD,SETEMBRO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,CARRAO,1198,PCD,SETEMBRO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,VILA FORMOSA,1524,PCD,SETEMBRO,2024
LESTE 1,MOOCA,AGUA RASA,1076,PCD,SETEMBRO,2024
LESTE 1,MOOCA,BELEM,726,PCD,SETEMBRO,2024
LESTE 1,MOOCA,BRAS,648,PCD,SETEMBRO,2024
LESTE 1,MOOCA,MOOCA,732,PCD,SETEMBRO,2024
LESTE 1,MOOCA,PARI,335,PCD,SETEMBRO,2024
