Macrorregiao,Subprefeitura,Distrito,Total_Familias,Mes,Ano
SUL 2,CAPELA DO SOCORRO,CIDADE DUTRA,10957,JANEIRO,2024
SUL 2,CAPELA DO SOCORRO,GRAJAU,33314,JANEIRO,2024
SUL 2,CAPELA DO SOCORRO,SOCORRO,1024,JANEIRO,2024
SUL 2,CIDADE ADEMAR,CIDADE ADEMAR,21612,JANEIRO,2024
SUL 2,CIDADE ADEMAR,PEDREIRA,14335,JANEIRO,2024
SUL 2,MBOI MIRIM,JARDIM ANGELA,27837,JANEIRO,2024
SUL 2,MBOI MIRIM,JARDIM SAO LUIS,16852,JANEIRO,2024
SUL 2,PARELHEIROS,MARSILAC,1138,JANEIRO,2024
SUL 2,PARELHEIROS,PARELHEIROS,14923,JANEIRO,2024
SUL 2,SANTO AMARO,CAMPO BELO,1531,JANEIRO,2024
SUL 2,SANTO AMARO,CAMPO GRANDE,2292,JANEIRO,2024
SUL 2,SANTO AMARO,SANTO AMARO,2830,JANEIRO,2024
