Macrorregiao,Subprefeitura,Distrito,Total,Tipo_Beneficio,Mes,Ano
OESTE,PINHEIROS,ALTO DE PINHEIROS,162,IDOSA,SETEMBRO,2024
OESTE,PINHEIROS,ITAIM BIBI,492,IDOSA,SETEMBRO,2024
OESTE,PINHEIROS,JARDIM PAULISTA,306,IDOSA,SETEMBRO,2024
OESTE,PINHEIROS,PINHEIROS,378,IDOSA,SETEMBRO,2024
SUL 1,IPIRANGA,CURSINO,1230,IDOSA,SETEMBRO,2024
SUL 1,IPIRANGA,IPIRANGA,1195,IDOSA,SETEMBRO,2024
SUL 1,IPIRANGA,SACOMA,2880,IDOSA,SETEMBRO,2024
SUL 1,JABAQUARA,JABAQUARA,3245,IDOSA,SETEMBRO,2024
SUL 1,VILA MARIANA,MOEMA,232,IDOSA,SETEMBRO,2024
SUL 1,VILA MARIANA,SAUDE,935,IDOSA,SETEMBRO,2024
SUL 1,VILA MARIANA,VILA MARIANA,920,IDOSA,SETEMBRO,2024
SUL 2,CAMPO LIMPO,CAMPO LIMPO,3290,IDOSA,SETEMBRO,2024
SUL 2,CAMPO LIMPO,CAPAO REDONDO,4463,IDOSA,SETEMBRO,2024
SUL 2,CAMPO LIMPO,VILA ANDRADE,1027,IDOSA,SETEMBRO,2024
SUL 2,CAPELA DO SOCORRO,CIDADE DUTRA,3469,IDOSA,SETEMBRO,2024
SUL 2,CAPELA DO SOCORRO,GRAJAU,6446,IDOSA,SETEMBRO,2024
SUL 2,CAPELA DO SOCORRO,SOCORRO,518,IDOSA,SETEMBRO,2024
SUL 2,CIDADE ADEMAR,CIDADE ADEMAR,4710,IDOSA,SETEMBRO,2024
SUL 2,CIDADE ADEMAR,PEDREIRA,2543,IDOSA,SETEMBRO,2024
SUL 2,MBOI MIRIM,JARDIM ANGELA,5002,IDOSA,SETEMBRO,2024
SUL 2,MBOI MIRIM,JARDIM SAO LUIS,3982,IDOSA,SETEMBRO,2024
SUL 2,PARELHEIROS,MARSILAC,366,IDOSA,SETEMBRO,2024
SUL 2,PARELHEIROS,PARELHEIROS,3006,IDOSA,SETEMBRO,2024
SUL 2,SANTO AMARO,CAMPO BELO,599,IDOSA,SETEMBRO,2024
SUL 2,SANTO AMARO,CAMPO GRANDE,1019,IDOSA,SETEMBRO,2024
SUL 2,SANTO AMARO,SANTO AMARO,793,IDOSA,SETEMBRO,2024
